,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
340,2019-04-19,Wolves,Brighton,,,
341,2019-04-19,Man City,Tottenham,,,
342,2019-04-19,Newcastle,Southampton,,,
343,2019-04-19,Arsenal,Crystal Palace,,,
344,2019-04-19,Chelsea,Burnley,,,
345,2019-04-19,Everton,Man United,,,
346,2019-04-19,Huddersfield,Watford,,,
347,2019-04-19,Cardiff,Liverpool,,,
348,2019-04-19,West Ham,Leicester,,,
349,2019-04-19,Bournemouth,Fulham,,,
350,2019-04-26,Fulham,Cardiff,,,
351,2019-04-26,Liverpool,Huddersfield,,,
352,2019-04-26,Tottenham,West Ham,,,
353,2019-04-26,Man United,Chelsea,,,
354,2019-04-26,Leicester,Arsenal,,,
355,2019-04-26,Burnley,Man City,,,
356,2019-04-26,Southampton,Bournemouth,,,
357,2019-04-26,Crystal Palace,Everton,,,
358,2019-04-26,Brighton,Newcastle,,,
359,2019-04-26,Watford,Wolves,,,
360,2019-05-03,Wolves,Fulham,,,
361,2019-05-03,Man City,Leicester,,,
362,2019-05-03,Newcastle,Liverpool,,,
363,2019-05-03,Arsenal,Brighton,,,
364,2019-05-03,Chelsea,Watford,,,
365,2019-05-03,Everton,Burnley,,,
366,2019-05-03,Huddersfield,Man United,,,
367,2019-05-03,Cardiff,Crystal Palace,,,
368,2019-05-03,West Ham,Southampton,,,
369,2019-05-03,Bournemouth,Tottenham,,,
370,2019-05-11,Fulham,Newcastle,,,
371,2019-05-11,Liverpool,Wolves,,,
372,2019-05-11,Tottenham,Everton,,,
373,2019-05-11,Man United,Cardiff,,,
374,2019-05-11,Leicester,Chelsea,,,
375,2019-05-11,Burnley,Arsenal,,,
376,2019-05-11,Southampton,Huddersfield,,,
377,2019-05-11,Crystal Palace,Bournemouth,,,
378,2019-05-11,Brighton,Man City,,,
379,2019-05-11,Watford,West Ham,,,
