,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
232,05/02/00,Man United,Coventry,3.0,2.0,H
233,05/02/00,Southampton,West Ham,2.0,1.0,H
234,05/02/00,Sunderland,Newcastle,2.0,2.0,D
235,05/02/00,Tottenham,Chelsea,0.0,1.0,A
236,06/02/00,Wimbledon,Everton,0.0,3.0,A
237,12/02/00,Chelsea,Wimbledon,3.0,1.0,H
238,12/02/00,Coventry,Sunderland,3.0,2.0,H
239,12/02/00,Everton,Derby,2.0,1.0,H
240,12/02/00,Leeds,Tottenham,1.0,0.0,H
241,12/02/00,Newcastle,Man United,3.0,0.0,H
242,12/02/00,Sheffield Weds,Southampton,0.0,1.0,A
243,12/02/00,Watford,Leicester,1.0,1.0,D
244,12/02/00,West Ham,Bradford,5.0,4.0,H
245,13/02/00,Arsenal,Liverpool,0.0,1.0,A
246,14/02/00,Middlesbrough,Aston Villa,0.0,4.0,A
247,19/02/00,Middlesbrough,Coventry,2.0,0.0,H
248,20/02/00,Leeds,Man United,0.0,1.0,A
249,26/02/00,Arsenal,Southampton,3.0,1.0,H
250,26/02/00,Bradford,Aston Villa,1.0,1.0,D
251,26/02/00,Chelsea,Watford,2.0,1.0,H
252,26/02/00,Coventry,Tottenham,0.0,1.0,A
253,26/02/00,Middlesbrough,Leeds,0.0,0.0,D
254,26/02/00,Sheffield Weds,Newcastle,0.0,2.0,A
255,26/02/00,Sunderland,Derby,1.0,1.0,D
256,26/02/00,West Ham,Everton,0.0,4.0,A
257,26/02/00,Wimbledon,Man United,2.0,2.0,D
258,04/03/00,Derby,Wimbledon,4.0,0.0,H
259,04/03/00,Everton,Sheffield Weds,1.0,1.0,D
260,04/03/00,Man United,Liverpool,1.0,1.0,D
261,04/03/00,Newcastle,Chelsea,0.0,1.0,A
262,04/03/00,Southampton,Middlesbrough,1.0,1.0,D
263,04/03/00,Tottenham,Bradford,1.0,1.0,D
264,04/03/00,Watford,West Ham,1.0,2.0,A
265,05/03/00,Aston Villa,Arsenal,1.0,1.0,D
266,05/03/00,Leeds,Coventry,3.0,0.0,H
267,05/03/00,Leicester,Sunderland,5.0,2.0,H
268,08/03/00,West Ham,Southampton,2.0,0.0,H
269,11/03/00,Aston Villa,Coventry,1.0,0.0,H
270,11/03/00,Chelsea,Everton,1.0,1.0,D
271,11/03/00,Liverpool,Sunderland,1.0,1.0,D
272,11/03/00,Man United,Derby,3.0,1.0,H
273,11/03/00,Newcastle,Watford,1.0,0.0,H
274,11/03/00,Sheffield Weds,West Ham,3.0,1.0,H
275,11/03/00,Tottenham,Southampton,7.0,2.0,H
276,11/03/00,Wimbledon,Leicester,2.0,1.0,H
277,12/03/00,Bradford,Leeds,1.0,2.0,A
278,12/03/00,Middlesbrough,Arsenal,2.0,1.0,H
279,15/03/00,Coventry,Everton,1.0,0.0,H
280,15/03/00,Liverpool,Aston Villa,0.0,0.0,D
281,18/03/00,Coventry,Bradford,4.0,0.0,H
282,18/03/00,Derby,Liverpool,0.0,2.0,A
283,18/03/00,Leicester,Man United,0.0,2.0,A
284,18/03/00,Southampton,Aston Villa,2.0,0.0,H
285,18/03/00,Sunderland,Middlesbrough,1.0,1.0,D
286,18/03/00,Watford,Sheffield Weds,1.0,0.0,H
287,18/03/00,West Ham,Chelsea,0.0,0.0,D
288,19/03/00,Arsenal,Tottenham,2.0,1.0,H
289,19/03/00,Everton,Newcastle,0.0,2.0,A
290,19/03/00,Leeds,Wimbledon,4.0,1.0,H
291,25/03/00,Aston Villa,Derby,2.0,0.0,H
292,25/03/00,Bradford,Man United,0.0,4.0,A
293,25/03/00,Chelsea,Southampton,1.0,1.0,D
294,25/03/00,Liverpool,Newcastle,2.0,1.0,H
295,25/03/00,Middlesbrough,Sheffield Weds,1.0,0.0,H
296,25/03/00,Sunderland,Everton,2.0,1.0,H
297,25/03/00,Watford,Tottenham,1.0,1.0,D
298,26/03/00,Arsenal,Coventry,3.0,0.0,H
299,26/03/00,Leicester,Leeds,2.0,1.0,H
300,26/03/00,West Ham,Wimbledon,2.0,1.0,H
301,01/04/00,Coventry,Liverpool,0.0,3.0,A
302,01/04/00,Everton,Watford,4.0,2.0,H
303,01/04/00,Leeds,Chelsea,0.0,1.0,A
304,01/04/00,Man United,West Ham,7.0,1.0,H
305,01/04/00,Newcastle,Bradford,2.0,0.0,H
306,01/04/00,Southampton,Sunderland,1.0,2.0,A
307,01/04/00,Wimbledon,Arsenal,1.0,3.0,A
308,02/04/00,Derby,Leicester,3.0,0.0,H
309,03/04/00,Tottenham,Middlesbrough,2.0,3.0,A
310,05/04/00,Sheffield Weds,Aston Villa,0.0,1.0,A
311,08/04/00,Bradford,Southampton,1.0,2.0,A
312,08/04/00,Leicester,Everton,1.0,1.0,D
313,08/04/00,Sunderland,Wimbledon,2.0,1.0,H
314,08/04/00,Watford,Derby,0.0,0.0,D
315,09/04/00,Aston Villa,Leeds,1.0,0.0,H
316,09/04/00,Liverpool,Tottenham,2.0,0.0,H
