MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AT_match_played,AT_goal_against,HT_goal_against,HT_goal_differnece,AT_current_standing,HT_match_played,AT_goal_differnece,AT_goal_for,HT_current_standing,HT_goal_for
129,18/11/95,Wimbledon,Middlesbrough,0,0,D,12,7,29,-13,22,12,5,12,10,16
130,19/11/95,QPR,Coventry,1,1,D,12,24,19,-9,7,12,-14,10,10,10
131,20/11/95,Southampton,Aston Villa,0,1,A,13,10,24,-10,24,13,8,18,12,14
132,21/11/95,Arsenal,Sheffield Weds,4,2,H,13,14,8,9,13,13,-4,10,24,17
133,21/11/95,Middlesbrough,Tottenham,0,1,A,13,17,7,5,22,13,4,21,23,12
134,22/11/95,Chelsea,Bolton,3,2,H,13,26,15,-4,8,13,-14,12,16,11
135,22/11/95,Coventry,Man United,0,4,A,13,13,25,-14,29,13,14,27,8,11
136,22/11/95,Everton,QPR,2,0,H,13,20,17,-2,11,13,-9,11,15,15
137,22/11/95,Man City,Wimbledon,1,0,H,13,29,22,-17,11,13,-13,16,6,5
138,22/11/95,West Ham,Liverpool,0,0,D,13,12,16,-2,23,13,14,26,16,14
139,25/11/95,Chelsea,Tottenham,0,0,D,14,17,17,-3,25,14,5,22,19,14
140,25/11/95,Coventry,Wimbledon,3,3,D,14,30,29,-18,11,14,-14,16,8,11
141,25/11/95,Everton,Sheffield Weds,2,2,D,14,18,17,0,13,14,-6,12,18,17
142,25/11/95,Man City,Aston Villa,1,0,H,14,10,22,-16,27,14,9,19,9,6
143,25/11/95,Middlesbrough,Liverpool,2,1,H,14,12,8,4,24,14,14,26,23,12
144,25/11/95,Newcastle,Leeds,2,1,H,13,14,10,21,24,14,5,19,35,31
145,25/11/95,Southampton,Bolton,1,0,H,14,29,25,-11,8,14,-15,14,12,14
146,25/11/95,West Ham,QPR,1,0,H,14,22,16,-2,11,14,-11,11,17,14
147,26/11/95,Arsenal,Blackburn,0,0,D,14,17,10,11,17,14,6,23,27,21
148,27/11/95,Nott'm Forest,Man United,1,1,D,14,13,20,3,32,13,18,31,24,23
149,02/12/95,Aston Villa,Arsenal,1,1,D,15,10,11,8,28,15,11,21,27,19
150,02/12/95,Blackburn,West Ham,4,2,H,15,16,17,6,20,15,-1,15,18,23
