Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2001-02-25,Man United,Arsenal,6,1,H,27,63,91,52,0.7368421052631579,59,17,42,0.7037037037037037,27,50,73,30,0.5789473684210527,43,23,20,0.5185185185185185,0,0,0,0,1,0,0,0,0.8,0.6,13,18,22,0.1578947368421052,0.18518518518518523,22
2001-03-03,Arsenal,West Ham,3,0,H,28,50,73,30,0.5789473684210527,44,29,15,0.5,27,35,55,-1,0.3947368421052632,35,32,3,0.2962962962962963,0,0,0,0,0,0,0,0,0.6,0.2,15,18,31,0.18421052631578944,0.20370370370370372,12
2001-03-03,Coventry,Chelsea,0,0,D,28,23,44,-7,0.3157894736842105,26,48,-22,0.17857142857142858,26,38,65,19,0.4736842105263158,48,33,15,0.38461538461538464,0,0,0,0,0,0,0,0,0.0,0.4,-15,-21,-26,-0.1578947368421053,-0.20604395604395606,-37
2001-03-03,Derby,Tottenham,2,1,H,28,31,38,-13,0.2368421052631579,28,43,-15,0.25,28,36,53,8,0.3947368421052632,32,36,-4,0.32142857142857145,0,0,0,0,0,0,0,0,0.4,0.2,-5,-15,-21,-0.1578947368421053,-0.07142857142857145,-11
2001-03-03,Everton,Newcastle,1,1,D,28,31,50,10,0.3157894736842105,30,42,-12,0.2857142857142857,27,37,52,9,0.3684210526315789,32,38,-6,0.4074074074074074,0,0,0,0,0,0,1,0,0.2,0.4,-6,-2,1,-0.05263157894736842,-0.12169312169312169,-6
2001-03-03,Leeds,Man United,1,1,D,28,43,69,15,0.5526315789473685,41,36,5,0.42857142857142855,28,66,91,52,0.7368421052631579,65,18,47,0.7142857142857143,0,0,0,0,0,0,0,0,0.6,0.8,-23,-22,-37,-0.18421052631578938,-0.28571428571428575,-42
2001-03-03,Leicester,Liverpool,2,0,H,27,42,55,0,0.42105263157894735,29,29,0,0.4444444444444444,26,45,67,21,0.5,47,28,19,0.5,0,0,0,0,0,0,0,0,0.4,0.4,-3,-12,-21,-0.07894736842105265,-0.05555555555555558,-19
2001-03-03,Man City,Southampton,0,1,A,28,26,-1,-1,0.0,31,46,-15,0.21428571428571427,27,38,44,-17,0.3157894736842105,32,34,-2,0.37037037037037035,0,0,0,0,1,0,0,0,0.2,0.6,-12,-45,16,-0.3157894736842105,-0.15608465608465608,-13
2001-03-03,Middlesbrough,Charlton,0,0,D,28,27,52,-6,0.3684210526315789,31,35,-4,0.17857142857142858,28,41,-1,-1,0.0,38,40,-2,0.39285714285714285,0,0,0,0,0,0,0,0,0.0,0.4,-14,53,-5,0.3684210526315789,-0.21428571428571427,-2
2001-03-04,Ipswich,Bradford,3,1,H,27,43,-1,-1,0.0,39,33,6,0.48148148148148145,27,16,36,-30,0.2368421052631579,17,50,-33,0.1111111111111111,0,0,0,0,0,0,1,0,0.4,0.0,27,-37,29,-0.2368421052631579,0.37037037037037035,39
2001-03-05,Sunderland,Aston Villa,1,1,D,28,44,58,1,0.42105263157894735,32,27,5,0.42857142857142855,26,33,58,11,0.3947368421052632,28,28,0,0.3076923076923077,0,0,0,0,0,0,0,0,0.0,0.2,11,0,-10,0.026315789473684126,0.12087912087912084,5
2001-03-07,West Ham,Chelsea,0,2,A,28,35,55,-1,0.3947368421052632,35,35,0,0.2857142857142857,27,39,65,19,0.4736842105263158,48,33,15,0.37037037037037035,0,0,0,0,0,0,0,0,0.2,0.4,-4,-10,-20,-0.0789473684210526,-0.08465608465608465,-15
2001-03-10,Aston Villa,Ipswich,2,1,H,27,34,58,11,0.3947368421052632,29,29,0,0.2962962962962963,28,46,-1,-1,0.0,42,34,8,0.5,0,0,0,0,0,0,0,0,0.2,0.4,-12,59,12,0.3947368421052632,-0.20370370370370372,-8
2001-03-17,Bradford,Man City,2,2,D,28,16,36,-30,0.2368421052631579,18,53,-35,0.10714285714285714,29,26,-1,-1,0.0,31,47,-16,0.20689655172413793,0,0,1,1,0,0,0,0,0.0,0.2,-10,37,-29,0.2368421052631579,-0.09975369458128079,-19
2001-03-17,Charlton,Leeds,1,2,A,29,42,-1,-1,0.0,38,40,-2,0.3793103448275862,29,44,69,15,0.5526315789473685,42,37,5,0.41379310344827586,0,0,0,0,0,0,0,0,0.4,0.4,-2,-70,-16,-0.5526315789473685,-0.03448275862068967,-7
2001-03-17,Chelsea,Sunderland,2,4,A,28,42,65,19,0.4736842105263158,50,33,17,0.39285714285714285,29,45,58,1,0.42105263157894735,33,28,5,0.41379310344827586,0,0,0,0,0,0,0,0,0.4,0.0,-3,7,18,0.052631578947368474,-0.020935960591133007,12
2001-03-17,Man United,Leicester,2,0,H,29,67,91,52,0.7368421052631579,66,19,47,0.6896551724137931,28,45,55,0,0.42105263157894735,31,29,2,0.4642857142857143,0,0,0,0,0,0,0,0,0.6,0.6,22,36,52,0.3157894736842105,0.22536945812807885,45
2001-03-17,Newcastle,Middlesbrough,1,2,A,28,38,52,9,0.3684210526315789,33,39,-6,0.39285714285714285,29,28,52,-6,0.3684210526315789,31,35,-4,0.1724137931034483,0,0,0,0,0,0,0,0,0.2,0.0,10,0,15,0.0,0.22044334975369456,-2
2001-03-17,Southampton,Everton,1,0,H,28,41,44,-17,0.3157894736842105,33,34,-1,0.39285714285714285,29,32,50,10,0.3157894736842105,31,43,-12,0.27586206896551724,1,0,0,0,0,0,0,0,0.8,0.2,9,-6,-27,0.0,0.11699507389162561,11
2001-03-17,Tottenham,Coventry,3,0,H,29,36,53,8,0.3947368421052632,33,38,-5,0.3103448275862069,29,24,44,-7,0.3157894736842105,26,48,-22,0.1724137931034483,0,0,0,0,0,0,0,0,0.2,0.0,12,9,15,0.07894736842105271,0.13793103448275862,17
2001-03-17,West Ham,Ipswich,0,1,A,29,35,55,-1,0.3947368421052632,35,37,-2,0.27586206896551724,29,46,-1,-1,0.0,43,36,7,0.4827586206896552,0,0,0,0,0,0,0,0,0.2,0.4,-11,56,0,0.3947368421052632,-0.20689655172413796,-9
2001-03-18,Aston Villa,Arsenal,0,0,D,28,37,58,11,0.3947368421052632,31,30,1,0.32142857142857145,29,53,73,30,0.5789473684210527,47,29,18,0.5172413793103449,0,0,0,0,0,0,0,0,0.4,0.8,-16,-15,-19,-0.18421052631578944,-0.1958128078817734,-17
2001-03-18,Liverpool,Derby,1,1,D,27,45,67,21,0.5,47,30,17,0.48148148148148145,29,34,38,-13,0.2368421052631579,30,44,-14,0.27586206896551724,0,0,0,0,0,0,0,0,0.2,0.6,11,29,34,0.2631578947368421,0.20561941251596422,31
2001-03-31,Arsenal,Tottenham,2,0,H,30,54,73,30,0.5789473684210527,47,29,18,0.5,30,39,53,8,0.3947368421052632,36,38,-2,0.3333333333333333,0,0,0,0,0,0,0,0,0.6,0.4,15,20,22,0.18421052631578944,0.16666666666666669,20
2001-03-31,Bradford,Newcastle,2,2,D,29,17,36,-30,0.2368421052631579,20,55,-35,0.10344827586206896,29,38,52,9,0.3684210526315789,34,41,-7,0.3793103448275862,0,0,0,0,0,0,0,0,0.0,0.0,-21,-16,-39,-0.13157894736842102,-0.27586206896551724,-28
2001-03-31,Chelsea,Middlesbrough,2,1,H,29,42,65,19,0.4736842105263158,52,37,15,0.3793103448275862,30,31,52,-6,0.3684210526315789,33,36,-3,0.2,0,0,0,0,0,0,0,0,0.2,0.2,11,13,25,0.10526315789473689,0.17931034482758618,18
2001-03-31,Coventry,Derby,2,0,H,30,24,44,-7,0.3157894736842105,26,51,-25,0.16666666666666666,30,35,38,-13,0.2368421052631579,31,45,-14,0.26666666666666666,0,0,0,0,0,0,0,0,0.0,0.6,-11,6,6,0.0789473684210526,-0.1,-11
2001-03-31,Liverpool,Man United,2,0,H,28,46,67,21,0.5,48,31,17,0.4642857142857143,30,70,91,52,0.7368421052631579,68,19,49,0.7,0,0,0,0,0,0,0,0,0.2,0.6,-24,-24,-31,-0.23684210526315785,-0.23571428571428565,-32
2001-03-31,Man City,Aston Villa,1,3,A,30,27,-1,-1,0.0,33,49,-16,0.2,29,38,58,11,0.3947368421052632,31,30,1,0.3103448275862069,0,0,0,0,0,0,0,0,0.2,0.2,-11,-59,-12,-0.3947368421052632,-0.1103448275862069,-17
2001-03-31,Sunderland,Leeds,0,2,A,30,48,58,1,0.42105263157894735,37,30,7,0.43333333333333335,30,47,69,15,0.5526315789473685,44,38,6,0.43333333333333335,0,0,0,0,0,0,0,0,0.2,0.4,1,-11,-14,-0.13157894736842113,0.0,1
2001-03-31,West Ham,Everton,0,2,A,30,35,55,-1,0.3947368421052632,35,38,-3,0.26666666666666666,30,32,50,10,0.3157894736842105,31,44,-13,0.26666666666666666,0,0,1,0,0,0,0,0,0.2,0.2,3,5,-11,0.07894736842105271,0.0,10
2001-04-01,Charlton,Leicester,2,0,H,30,42,-1,-1,0.0,39,42,-3,0.36666666666666664,29,45,55,0,0.42105263157894735,31,31,0,0.4482758620689655,0,0,0,0,0,0,0,0,0.2,0.6,-3,-56,-1,-0.42105263157894735,-0.08160919540229888,-3
2001-04-02,Southampton,Ipswich,0,3,A,29,44,44,-17,0.3157894736842105,34,34,0,0.41379310344827586,30,49,-1,-1,0.0,44,36,8,0.5,1,1,0,0,0,0,0,0,1.0,0.6,-5,45,-16,0.3157894736842105,-0.08620689655172414,-8
2001-04-04,Aston Villa,Leicester,2,1,H,30,41,58,11,0.3947368421052632,34,31,3,0.3333333333333333,30,45,55,0,0.42105263157894735,31,33,-2,0.43333333333333335,0,0,0,0,0,0,0,0,0.4,0.4,-4,3,11,-0.026315789473684126,-0.10000000000000003,5
2001-04-07,Aston Villa,West Ham,2,2,D,31,44,58,11,0.3947368421052632,36,32,4,0.3548387096774194,31,35,55,-1,0.3947368421052632,35,40,-5,0.25806451612903225,0,0,0,0,0,0,1,0,0.6,0.2,9,3,12,0.0,0.09677419354838712,9
2001-04-07,Derby,Chelsea,0,4,A,31,35,38,-13,0.2368421052631579,31,47,-16,0.25806451612903225,30,45,65,19,0.4736842105263158,54,38,16,0.4,0,0,0,0,0,0,0,0,0.4,0.4,-10,-27,-32,-0.2368421052631579,-0.14193548387096777,-32
2001-04-07,Leeds,Southampton,2,0,H,31,50,69,15,0.5526315789473685,46,38,8,0.45161290322580644,30,44,44,-17,0.3157894736842105,34,37,-3,0.4,0,0,0,0,0,0,0,0,0.6,0.8,6,25,32,0.23684210526315796,0.05161290322580642,11
2001-04-07,Leicester,Coventry,1,3,A,31,45,55,0,0.42105263157894735,32,35,-3,0.41935483870967744,31,27,44,-7,0.3157894736842105,28,51,-23,0.1935483870967742,0,0,1,0,0,0,0,0,0.4,0.2,18,11,7,0.10526315789473684,0.22580645161290325,20
2001-04-08,Everton,Man City,3,1,H,31,35,50,10,0.3157894736842105,33,44,-11,0.2903225806451613,31,27,-1,-1,0.0,34,52,-18,0.1935483870967742,0,0,0,0,0,0,0,0,0.4,0.2,8,51,11,0.3157894736842105,0.09677419354838712,7
