Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2019-03-15,Bournemouth,Newcastle,0.0,0.0,H,76,76,0
2019-03-29,Fulham,Man City,0.0,0.0,A,76,85,-9
2019-03-29,Liverpool,Tottenham,0.0,0.0,H,83,83,0
2019-03-29,Arsenal,Newcastle,0.0,0.0,H,82,76,6
2019-03-29,Man United,Watford,0.0,0.0,H,83,77,6
2019-03-29,Leicester,Bournemouth,0.0,0.0,H,78,76,2
2019-03-29,Burnley,Wolves,0.0,0.0,H,78,76,2
2019-03-29,Cardiff,Chelsea,0.0,0.0,A,73,83,-10
2019-03-29,West Ham,Everton,0.0,0.0,H,78,79,-1
2019-03-29,Crystal Palace,Huddersfield,0.0,0.0,H,77,75,2
2019-03-29,Brighton,Southampton,0.0,0.0,H,76,77,-1
2019-04-05,Wolves,Man United,0.0,0.0,A,76,83,-7
2019-04-05,Man City,Cardiff,0.0,0.0,H,85,73,12
2019-04-05,Newcastle,Crystal Palace,0.0,0.0,H,76,77,-1
2019-04-05,Chelsea,West Ham,0.0,0.0,H,83,78,5
2019-04-05,Tottenham,Brighton,0.0,0.0,H,83,76,7
2019-04-05,Everton,Arsenal,0.0,0.0,A,79,82,-3
2019-04-05,Huddersfield,Leicester,0.0,0.0,A,75,78,-3
2019-04-05,Southampton,Liverpool,0.0,0.0,A,77,83,-6
2019-04-05,Watford,Fulham,0.0,0.0,H,77,76,1
2019-04-05,Bournemouth,Burnley,0.0,0.0,H,76,78,-2
2019-04-12,Fulham,Everton,0.0,0.0,H,76,79,-3
2019-04-12,Liverpool,Chelsea,0.0,0.0,H,83,83,0
2019-04-12,Tottenham,Huddersfield,0.0,0.0,H,83,75,8
2019-04-12,Man United,West Ham,0.0,0.0,H,83,78,5
2019-04-12,Leicester,Newcastle,0.0,0.0,H,78,76,2
2019-04-12,Burnley,Cardiff,0.0,0.0,H,78,73,5
2019-04-12,Southampton,Wolves,0.0,0.0,H,77,76,1
2019-04-12,Crystal Palace,Man City,0.0,0.0,A,77,85,-8
2019-04-12,Brighton,Bournemouth,0.0,0.0,H,76,76,0
2019-04-12,Watford,Arsenal,0.0,0.0,A,77,82,-5
2019-04-19,Wolves,Brighton,0.0,0.0,H,76,76,0
2019-04-19,Man City,Tottenham,0.0,0.0,H,85,83,2
2019-04-19,Newcastle,Southampton,0.0,0.0,H,76,77,-1
2019-04-19,Arsenal,Crystal Palace,0.0,0.0,H,82,77,5
2019-04-19,Chelsea,Burnley,0.0,0.0,H,83,78,5
2019-04-19,Everton,Man United,0.0,0.0,A,79,83,-4
2019-04-19,Huddersfield,Watford,0.0,0.0,H,75,77,-2
2019-04-19,Cardiff,Liverpool,0.0,0.0,A,73,83,-10
2019-04-19,West Ham,Leicester,0.0,0.0,H,78,78,0
2019-04-19,Bournemouth,Fulham,0.0,0.0,H,76,76,0
2019-04-26,Fulham,Cardiff,0.0,0.0,H,76,73,3
2019-04-26,Liverpool,Huddersfield,0.0,0.0,H,83,75,8
